,0
1973,지나치거나
1974,"
"
1975,너무하다
1976,"
"
1977,너절하게
1978,"
"
1979,너절하다
1980,"
"
1981,너절한
1982,"
"
1983,너절한
1984,상태
1985,"
"
1986,너절한
1987,상태
1988,이다
1989,"
"
1990,넌더리
1991,가
1992,"
"
1993,넌더리
1994,가
1995,날
1996,"
"
1997,넌
1998,씨
1999,눈
2000,"
"
2001,노답
2002,"
"
2003,노략
2004,질하는
2005,"
"
2006,노략
2007,질하는
2008,짓
2009,을
2010,"
"
2011,노략
2012,질함
2013,을
2014,"
"
2015,노
2016,여운
2017,"
"
2018,노
2019,여운
2020,감정
2021,이
2022,"
"
2023,노여움
2024,"
"
2025,노여움
2026,따위
2027,를
2028,"
"
2029,노여움
2030,을
2031,"
"
2032,노여움
2033,을
2034,나타내다
2035,"
"
2036,노엽거
2037,나
2038,"
"
2039,노엽거
2040,나
2041,언짢은
2042,"
"
2043,노예
2044,"
"
2045,노
2046,하여
2047,"
"
2048,노
2049,하여
2050,화증
2051,"
"
2052,노
2053,한
2054,다
2055,"
"
2056,노함
2057,"
"
2058,녹이
2059,심하게
2060,"
"
2061,놀라거나
2062,두려워서
2063,"
"
2064,놀라거나
2065,떪
2066,"
"
2067,놀라거나
2068,무서워
2069,"
"
2070,놀라거나
2071,불안하여
2072,"
"
2073,놀라거나
2074,슬퍼서
2075,"
"
2076,놀라거나
2077,아파서
2078,"
"
2079,놀라거나
2080,어색한
2081,"
"
2082,놀랍거나
2083,언짢아서
2084,"
"
2085,놀리다
2086,비아
2087,냥
2088,대다
2089,"
"
2090,놀림
2091,조
2092,"
"
2093,놀림
2094,조로
2095,"
"
2096,놀림
2097,조로
2098,이르는
2099,"
"
2100,농락
2101,하여
2102,"
"
2103,농지
2104,거리
2105,를
2106,"
"
2107,농지
2108,거리
2109,를
2110,하다
2111,"
"
2112,뇌
2113,의
2114,장애
2115,로
2116,"
"
2117,뇌종양
2118,"
"
2119,뇌진탕
2120,"
"
2121,뇌출혈
2122,"
"
2123,뇌
2124,타박상
2125,"
"
2126,눈꼴
2127,사납게
2128,"
"
2129,눈꼴
2130,사납게
2131,"
"
2132,눈꼴
2133,사납고
2134,"
"
2135,눈꼴
2136,사납다
2137,"
"
2138,눈물
2139,겹
2140,다
2141,"
"
2142,눈물
2143,을
2144,흘리다
2145,"
"
2146,눈물
2147,이
2148,넘칠듯이
2149,"
"
2150,눈물
2151,이
2152,많이
2153,"
"
2154,눈물
2155,이
2156,좔좔
2157,"
"
2158,눈알
2159,을
2160,경망
2161,스럽게
2162,"
"
2163,눈
2164,에
2165,거슬리다
2166,"
"
2167,눌러
2168,없애다
2169,"
"
2170,느
2171,개비
2172,"
"
2173,느글거리
2174,는
2175,"
"
2176,느글거리
2177,는
2178,모양
2179,"
"
2180,느글거리
2181,다
2182,"
"
2183,느글대다
2184,"
"
2185,느금마
2186,"
"
2187,느끼는
2188,고통
2189,"
"
2190,느끼하다
2191,"
"
2192,느끼해지는
2193,모양
